statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
요양보호센타,PW012391,01,02,울산광역시 울주군 상북면 소야정길 66-13,null,null,24시간 이용가능,35.614832868112,129.0591236201,PW,파워큐브,파워큐브,1833-8017,2,20250515080912,20250514211117,20250515015651,,,7,,31,31710,G0,G004,Y,,N,,N,,N,2020,울산광역시
요양보호센타,PW012391,02,02,울산광역시 울주군 상북면 소야정길 66-13,null,null,24시간 이용가능,35.614832868112,129.0591236201,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20240923115223,20240923115239,,,7,,31,31710,G0,G004,Y,,N,,N,,N,2020,울산광역시
현대중공업주식회사(화암관),PW012683,01,02,울산광역시 동구 화잠로 53,null,null,24시간 이용가능,35.475622739,129.41094304,PW,파워큐브,파워큐브,1833-8017,2,20250506023026,20250319113617,20250319113647,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(화암관),PW012683,02,02,울산광역시 동구 화잠로 53,null,null,24시간 이용가능,35.475622739,129.41094304,PW,파워큐브,파워큐브,1833-8017,2,20250429084723,20250422064557,20250422120132,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(화암관),PW012683,03,02,울산광역시 동구 화잠로 53,null,null,24시간 이용가능,35.475622739,129.41094304,PW,파워큐브,파워큐브,1833-8017,2,20250514193226,20250511235243,20250512023808,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(화암관),PW012683,04,02,울산광역시 동구 화잠로 53,null,null,24시간 이용가능,35.475622739,129.41094304,PW,파워큐브,파워큐브,1833-8017,2,20250515140325,20250319113616,20250319113907,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(화암관),PW012683,05,02,울산광역시 동구 화잠로 53,null,null,24시간 이용가능,35.475622739,129.41094304,PW,파워큐브,파워큐브,1833-8017,2,20250429084723,20250319113742,20250319113812,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(율전재),PW012684,01,02,울산광역시 동구 방어진순환도로 955,null,null,24시간 이용가능,35.526230448,129.43250927,PW,파워큐브,파워큐브,1833-8017,2,20250506055025,20250429062314,20250429153856,,,7,단독,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(율전재),PW012684,02,02,울산광역시 동구 방어진순환도로 955,null,null,24시간 이용가능,35.526230448,129.43250927,PW,파워큐브,파워큐브,1833-8017,2,20250502080121,20250501213809,20250502002331,,,7,단독,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(율전재),PW012684,03,02,울산광역시 동구 방어진순환도로 955,null,null,24시간 이용가능,35.526230448,129.43250927,PW,파워큐브,파워큐브,1833-8017,2,20250506095621,20250505194824,20250506033402,,,7,단독,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(율전재),PW012684,04,02,울산광역시 동구 방어진순환도로 955,null,null,24시간 이용가능,35.526230448,129.43250927,PW,파워큐브,파워큐브,1833-8017,2,20250512070724,20250511161030,20250512021114,,,7,단독,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
현대중공업주식회사(율전재),PW012684,05,02,울산광역시 동구 방어진순환도로 955,null,null,24시간 이용가능,35.526230448,129.43250927,PW,파워큐브,파워큐브,1833-8017,2,20250502185323,20250315145459,20250315145529,,,7,,31,31170,H0,H004,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
문수데시앙2단지아파트관리사무소,PW012690,01,02,울산광역시 울주군 청량읍 율리영해2길 7,null,null,24시간 이용가능,35.526595671,129.24280411,PW,파워큐브,파워큐브,1833-8017,2,20250512113644,20250512000604,20250512013622,,,7,,31,31710,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
문수데시앙2단지아파트관리사무소,PW012690,02,02,울산광역시 울주군 청량읍 율리영해2길 7,null,null,24시간 이용가능,35.526595671,129.24280411,PW,파워큐브,파워큐브,1833-8017,2,20250511080524,20250510232038,20250511012103,,,7,,31,31710,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
문수데시앙2단지아파트관리사무소,PW012690,03,02,울산광역시 울주군 청량읍 율리영해2길 7,null,null,24시간 이용가능,35.526595671,129.24280411,PW,파워큐브,파워큐브,1833-8017,2,20250515075426,20250514233751,20250515020812,,,7,,31,31710,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2021,울산광역시
