별점,리뷰,날짜
5/5,친한 회사 형이랑 다녀왔습니다. 오션 뷰도 좋고 방도 넓고 쾌적했어요. 욕실도 깔끔하고 뭐 더할 나위 없이 잘 즐기다 왔었습니다,2년
4/5,"객실 내에서 일출도 볼 수있고 화장실도 건식으로 지어놔서 깔끔했어요!
바닷가 앞에 지었지만 바닥에 계속 보일러를 가동시켜놔서 습하지는 않았습니다.
편의시설은 지하1층에 CU편의점이 있었고, 지하1층과 산책로가 연결되있어서 산책하기 좋았습니다.
다만, 조식은 가격에 비해 부실하다는 생각이 들었습니다.",2년
5/5,"통영 케이블카와 가깝다. 뷰가 좋으며 조식도 무난하게 맛있게 잘 먹었다. 해수 사우나는 성인과 청소년 기준 6,000원이며 목욕탕은 작다.  지하1층에 편의점이 있고 배달음식도 로비 정문 앞에서 받아서 해산물 안 좋아하는 아이들에게 별도의 음식을 주문해서 잘 먹였다. 전반적으로 넓고 깨끗했다. 우리 가족은 킹노블과 프라임 노블로 넓은 객실만 이용했고 콘도와 호텔 엘레베이터는 별도로 사용한다. 직원들이 모두 매우 친절하다.",3년
4/5,"뷰는 좋았다.
객실은 어디선가 모르게 모터돌아가는 진동이 느껴져서 잠을 잘 못잤어요... 실외기가 도는건지 ㅠㅠ
침대는 나름 괜찮았고 수압도 좋습니다!
주차장 넓찍하니 주차하기 편하고 지하랑 바로 앞 해안 산책로랑 연결되어 있어서 좋았네요..!
저는 층간소음 없었습니다.
높은 층을 원하신다면 체크인을 빨리하셔야 합니다. 5시쯤 가니 예약을 했지만 중저층 밖에 없었네요 ㅠㅠ",2년
3/5,일단 오션뷰 경치는 너무 좋아요 고층 원하면 일찍 체크인해야지만 배정받을 수 있습니다 사람들은 일찍 체크인하더라고요 사우나랑 안마도 좋아요 그런데 층간소음이 너무너무 심합니다,1년
3/5,화장실 변기 물때 등 관리가 잘안됨 청소를 하는건지 안하는건지... 창이 이중창이 아니라서 새벽 4시부터 배다니는 소리때문에 깨버림(방음 잘안됨. 옆방 소리도 잘  방음 안됨 ) 너무 단점만 적엇는데 장점  노을녘 뷰가 좋음 옥상 수영장 스파 무료 지하 헬스 무료 (좀 작음)  카드키 있으면 지하 스파 오처넌  정도겟네요.  어짜피 양쪽다 바다가 보이는 뷰이기때문에 굳이 뷰를 고를필요는 없어보입니다.  가격대비로 따지자면 별로였습니다.,4년
4/5,"뷰가 좋고 깔끔해요.
주말엔 사람 많이 몰려서 조식 같은 호텔 내부의 음식점 가기가 많이 힘들어요.
그에 따라 엘리베이터도 작고 수가 적은 편이라 늘 한참 기다리고요.",3년
5/5,"뷰가좋은방이어서 만족했어요~부대시설도 깨끗하고~안에 음식점이 하나뿐인게 좀 아쉬운점이었네요, 사진은 리조트 앞 산책로 바닷가에서 아이들이 게잡고노는 모습입니다^^",2년
4/5,"이 곳의 장점은 오션뷰. 아침에 거실과 방에서 일출을 맞이할 수 있다는 점이 장점.

호텔 시설이나 공간이 쾌적하고, 룸 컨디션과 화장실도 깨끗함. 식기류는 깨끗하지 않음.
무엇보다 세탁기와 빨래 건조대가 따로 있는 점과 작은 객실도 거실, 방 2개, 화장실 2개로 가족단위나 4인 이상 여행객들에게 넉넉한 공간을 제공.
인피니티 풀이 18층에 있고 메인 풀이 1m 깊이, 유아풀, 아동풀도 따로 있음. 선베드도 충분하고, 공간도 넓어서 이용이 편리. 자쿠지 2개. 메인풀은 온수풀.
아담한 프라이빗 비치는 여름 휴가에 장점일 듯.
레스토랑은 작아서 이용하지 않음.
근처에 통영중앙시장, 루지, 케이블카 등도 택시 기본요금 거리.",5년
5/5,지은지 얼마 안되서 그런지 외관부터 내부까지 깨끗하고 경치도 너무 좋았습니다. 직원분들도 친절했고 침구류쪽도 이물질 없고 차 있는 사람이면 좋은 위치와 시설인것 같네요.,2년
