별점,리뷰,날짜
3/5,ㆍㆍㆍ,4년
4/5,위치갑!!,5년
5/5,"1박 묵었습니다. 가격 대비 꽤 괜찮은 곳이었고, 서호시장과도 가까워서 좋았습니다.",3년
5/5,좋은,4년
5/5,리뷰 없음,1년
4/5,리뷰 없음,1년
4/5,리뷰 없음,1년
5/5,리뷰 없음,1년
5/5,리뷰 없음,2년
5/5,리뷰 없음,2년
